"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",19.277036909,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",19.378822187,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",19.3816762087,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",20.3393940061,,
"AUS","Australia","AVERAGE","Average","12_5","Protected areas – terrestrial","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",20.3393940061,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",5.4149609607,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",5.4734220023,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",5.5548084899,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",5.618039035,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",5.6251046062,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",5.9930099682,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",6.0026218663,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",6.077737295,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",11.2275498187,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",11.2497439247,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",11.2523837951,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",11.2524445376,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",11.4803456546,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",11.6288380609,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",40.9732887514,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",40.9732887514,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",40.9732887514,,
"AUS","Australia","AVERAGE","Average","12_6","Protected areas –marine","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",40.9732887514,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",0.86767,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",0.86442,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",0.86118,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",0.85829,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",0.85548,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",0.85243,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",0.85005,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",0.84668,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",0.84401,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",0.84057,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",0.83748,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",0.83506,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",0.83105,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",0.82824,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",0.82476,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",0.82147,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",0.81932,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",0.81603,,
"AUS","Australia","AVERAGE","Average","12_7","Threatened species(Red List Index)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2022","2022",0.81294,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",26.008,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",26.011,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",25.879,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",25.726,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",25.346,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",24.962,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",24.369,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",24.112,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",23.837,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",23.014,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",22.436,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",22.461,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",22.487,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",22.392,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",22.115,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",21.533,,
"AUS","Australia","AVERAGE","Average","12_8","Greenhouse gas emissions (domestic production)","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",20.536,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",76.823112487793,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",78.609977722168,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",80.0988388061524,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",81.3700942993164,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",82.4793090820312,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",82.8727645874024,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",84.7636947631836,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",84.4251556396484,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",86.6245574951172,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",85.6532516479492,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",86.7191543579102,"B","Break"
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",88.0791778564453,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",88.5629425048828,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",89.4324645996094,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",89.47412109375,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",90.5322647094726,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",90.8944702148438,,
"AUS","Australia","AVERAGE","Average","13_1","Educational attainment among young adults","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",91.0350112915039,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",18.31,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",17.46,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",20.78,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",20.22,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",19.8,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",19.97,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",21.04,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",22.36,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",22.56,"B","Break"
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",21.93,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",21.81,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",21.1,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",20.54,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",25.3,,
"AUS","Australia","AVERAGE","Average","13_2","Labour underutilisation rate","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",20.8,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",4373.4,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",4237.8,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",4140.1,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",4080.5,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",4027.8,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",3909.7,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",3848.5,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",3678.9,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",3666.8,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",3691.9,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",3724.9,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",3603.7,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",3567.7,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",3478.6,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",3664.5,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",3408.8,,
"AUS","Australia","AVERAGE","Average","13_3","Premature mortality","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",3453,,
"AUS","Australia","AVERAGE","Average","13_4","Smoking prevalence","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",17.8,,
"AUS","Australia","AVERAGE","Average","13_4","Smoking prevalence","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",16.9,,
"AUS","Australia","AVERAGE","Average","13_4","Smoking prevalence","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",15.3,,
"AUS","Australia","AVERAGE","Average","13_4","Smoking prevalence","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",13,,
"AUS","Australia","AVERAGE","Average","13_4","Smoking prevalence","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",12.4,,
"AUS","Australia","AVERAGE","Average","13_4","Smoking prevalence","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",11.2,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",53.206332837474,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",52.6932810746771,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",64.4675424053232,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",60.9752918764891,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",53.0786719332192,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",42.0419178918908,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",45.5871468172797,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",46.4676233517878,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",47.855683708198,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",45.2731750058896,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",45.3406962891371,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",46.8836874513729,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",46.8700014928596,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",44.6422249484244,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",51.9226387269998,,
"AUS","Australia","AVERAGE","Average","14_3","Trust in government","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2022","2022",49.9118816780199,,
"AUS","Australia","AVERAGE","Average","14_4","Government stakeholder engagement","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",2.67000007629394,,
"AUS","Australia","AVERAGE","Average","14_4","Government stakeholder engagement","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",2.67000007629394,,
"AUS","Australia","AVERAGE","Average","14_4","Government stakeholder engagement","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",2.73000001907349,,
"AUS","Australia","AVERAGE","Average","14_5","Gender parity in politics","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",24.7,,
"AUS","Australia","AVERAGE","Average","14_5","Gender parity in politics","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",26.7,,
"AUS","Australia","AVERAGE","Average","14_5","Gender parity in politics","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",28.7,,
"AUS","Australia","AVERAGE","Average","14_5","Gender parity in politics","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",30,,
"AUS","Australia","AVERAGE","Average","14_5","Gender parity in politics","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",31.1,,
"AUS","Australia","AVERAGE","Average","15_1","Produced fixed assets","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",130138,,
"AUS","Australia","AVERAGE","Average","15_1","Produced fixed assets","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",133324,,
"AUS","Australia","AVERAGE","Average","15_1","Produced fixed assets","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",136022,,
"AUS","Australia","AVERAGE","Average","15_1","Produced fixed assets","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",138115,,
"AUS","Australia","AVERAGE","Average","15_1","Produced fixed assets","FWB","Future Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",136668,,
